,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
765,F. Afena-Gyan ST,20,72,59,72,1,275,69,345,75,75,15.424948470398375
766,Saúl Coco CB,24,60,58,56,1,293,85,398,63,40,16.25785759333348
767,Mika Mármol CB LB,22,69,64,38,1,293,44,306,72,34,16.012735135300492
768,D. Murkin LWB CB LM,23,62,59,42,1,257,68,337,62,33,14.648419680899378
769,S. Armstrong ST LW,20,59,52,61,1,271,73,353,58,60,14.077874822431765
770,Marc Casadó CDM CM,19,66,61,54,1,284,56,275,72,55,14.077874822431765
771,B. Wales ST,18,58,47,58,1,241,61,305,61,60,13.815510557964274
772,E. Saad LW,23,75,63,64,1,242,68,312,72,68,14.73180128983843
773,T. Buchmann CB,18,41,40,29,1,215,47,272,41,22,13.527828485512494
774,Newerton LM RM,18,65,59,49,1,205,51,217,63,57,14.28551418721001
775,B. Rice CDM,16,62,56,39,1,253,52,253,65,31,13.681979165339751
776,Y. Kabadayi RM LM,19,71,55,61,1,219,67,302,68,63,14.346138809026444
777,Marcos Leonardo ST,20,74,53,76,1,253,77,374,75,81,16.61887093887081
778,Nico Paz CM CAM,18,68,62,61,1,280,59,307,71,62,14.403297222866392
779,Pau Cubarsí CB,16,53,42,23,1,218,32,242,60,22,13.560618308335483
781,Dodô RB,24,78,73,59,1,345,66,337,79,60,16.454567887579532
782,Carlos Soler CM,26,78,79,75,2,378,77,372,80,75,16.61887093887081
783,Diogo Dalot RB LB,24,77,76,62,2,361,80,390,78,52,16.972510979114386
784,H. Barnes LW LM,25,81,75,77,2,311,82,378,82,78,17.034386382832476
785,J. Schouten CDM CM CB,26,75,70,56,1,339,65,336,79,52,16.556350581889475
786,I. Sangaré CDM CM,25,75,74,66,3,365,80,400,75,61,17.24949776244942
787,E. Ampadu CDM CB CM,22,69,63,51,2,316,55,322,72,51,15.955576721460545
788,A. Ahmedhodžić CB,24,63,60,41,1,291,57,330,65,40,16.25785759333348
790,J. Willock CM,23,81,74,72,1,368,75,367,80,74,16.860032995687696
791,K. Dewsbury-Hall CM CDM,24,76,75,68,1,355,72,374,78,65,16.489659207390805
792,V. Castellanos ST,24,76,69,79,3,343,79,397,77,82,17.054189010128656
793,N. Domínguez CDM CM,25,76,71,66,1,347,72,372,78,65,16.523560759066484
794,K. Danso CB,24,63,57,32,2,300,49,329,68,26,17.111347423968603
795,N. Milenković CB,25,62,62,45,2,276,60,365,70,38,16.835935444108635
797,N. Raskin CM CDM,22,75,73,63,1,344,71,365,76,58,16.34123920227253
798,J. Arp ST,23,69,56,65,1,246,68,347,68,67,14.557447902693651
799,A. Skov Olsen RM CAM RW,23,79,73,78,1,306,80,381,81,77,16.860032995687696
800,S. Baptiste CM CDM,25,75,67,58,1,321,60,328,74,56,14.557447902693651
801,C. Hudson-Odoi LW RW,22,79,73,67,2,291,67,326,78,70,15.955576721460545
802,A. Gouiri LW ST LM,23,79,75,80,2,340,81,387,80,79,16.759949537130716
803,C. Bassey CB LB,23,66,62,44,1,303,64,360,64,36,15.955576721460545
804,Igor CB,25,55,50,31,1,292,44,330,63,22,16.11809565095832
805,K. Mavropanos CB RB,25,59,54,56,2,284,77,383,60,50,16.67771143889374
806,O. Solet CB,23,67,59,43,1,309,64,359,68,35,16.454567887579532
807,G. Busio CM CDM,21,76,72,64,1,331,70,334,75,61,15.761420707019587
808,B. Badiashile CB,22,60,67,47,2,309,70,347,67,38,17.09265529095645
809,J. Vagnoman RB RM RWB,22,72,68,58,2,312,68,382,71,55,15.341566861459324
810,J. Beyer CB,23,70,62,34,1,292,46,304,72,29,16.166885815127753
811,B. Sosa LB,25,77,78,53,2,313,70,357,79,41,16.38045991542581
812,A. Lunin GK,24,77,74,73,1,131,56,217,15,8,16.38045991542581
813,J. Cajuste CDM CM,23,74,69,62,1,331,74,368,76,59,15.29711509888849
814,A. Bah RB,25,75,72,65,1,358,81,392,74,59,16.883563493097892
815,Y. Fofana CDM CM,24,77,74,67,2,373,76,381,79,64,17.1296965626368
816,B. Gilmour CDM CM,22,75,72,57,1,339,56,289,76,53,15.60727002719233
817,L. Beltrán ST,22,76,68,76,1,355,74,378,76,80,16.556350581889475
818,M. Solomon LW LM,23,81,75,72,1,270,76,342,76,75,16.588099280204055
819,Emerson Royal RB CB,24,73,71,62,2,340,77,375,76,57,16.64872390202049
820,C. Cowell LM ST RM,19,68,58,61,1,261,68,367,64,61,14.690979295318174
821,N. Collins CB RB,22,62,55,30,1,250,46,294,66,29,16.454567887579532
822,Sergio Camello ST,22,77,66,76,1,283,75,345,79,77,16.34123920227253
823,R. Zalazar CM CAM,23,79,72,69,1,343,77,361,77,64,15.687312734865866
824,S. Abdul Samed CDM CM,23,71,66,47,1,334,49,331,75,48,16.454567887579532
825,E. Millot CAM CM CF,20,78,71,65,1,323,66,298,78,67,16.06680235657077
826,J. Kamiński LW LB,21,78,66,67,1,284,64,333,77,71,16.06680235657077
827,Reinier CAM LW RW,21,76,66,68,1,290,71,337,75,68,15.250595083253597
828,Seol Young Woo RB LB,24,68,65,51,1,300,56,336,69,48,14.946912669455374
829,E. Caprile GK,21,73,72,72,1,111,54,198,15,7,15.424948470398375
830,E. Touré ST,21,70,61,71,1,268,73,353,72,74,15.250595083253597
831,Morato CB LB,22,61,51,37,1,277,55,319,65,32,16.300417207752275
832,O. Marmoush ST LM,24,81,64,76,1,318,75,367,80,79,16.489659207390805
833,L. Ugochukwu CM CDM,19,73,69,59,1,329,69,363,75,55,15.687312734865866
834,A. Elanga RW ST LW,21,73,64,66,1,266,64,330,72,70,15.761420707019587
835,D. Neil CM CDM,21,71,67,64,1,339,62,358,73,66,15.250595083253597
836,Toti Gomes CB LB,24,65,65,47,1,320,55,333,66,42,16.213405830762646
837,J. van Hecke CB,23,64,57,45,1,288,72,347,68,33,15.60727002719233
838,Aimar Oroz CM ST CAM,21,74,70,74,1,323,72,354,75,78,15.761420707019587
839,O. Popescu LW RW,20,73,67,65,1,270,70,312,73,63,15.03928598958639
840,Joselu ST,33,74,69,84,3,342,84,404,82,87,16.785925023533974
841,Á. Di María CF RM,35,89,86,78,4,356,80,369,91,74,16.556350581889475
842,M. Balotelli ST,32,74,71,79,4,328,86,390,79,75,15.341566861459324
843,T. Müller CAM CF ST,33,79,83,82,4,369,78,379,83,84,16.929025867174648
844,N. Matić CDM CM,34,76,76,67,3,351,84,375,84,59,15.761420707019587
845,K. Volland ST CAM CF,30,78,77,80,2,356,85,419,79,79,16.454567887579532
846,R. Mahrez RM RW,32,89,82,81,3,328,82,369,91,82,17.80449460452855
847,Jorginho CDM CM,31,81,84,67,2,399,71,350,87,65,17.054189010128656
848,D. Berardi RW RM,28,87,81,83,2,355,83,380,87,85,17.81371125963347
850,A. Laporte CB,29,69,73,50,3,327,68,346,78,45,17.47907220409392
851,R. Andrich CDM CM,28,73,75,76,2,375,84,414,76,74,16.929025867174648
852,J. Correa CF LM,28,80,74,73,1,291,79,355,82,74,15.60727002719233
853,H. Lozano RW LW,27,82,72,76,3,338,76,352,80,77,17.1296965626368
854,J. Weigl CDM,27,76,77,64,2,353,68,351,78,65,16.883563493097892
855,M. Locatelli CDM CM,25,78,80,70,2,365,79,403,83,62,17.466168799258014
856,O. Aina LB LM RM,26,73,66,60,1,312,73,373,72,54,15.009433026436708
857,M. Holgate CB RB,26,65,68,43,1,303,55,308,66,37,15.341566861459324
858,K. Laimer CDM CM RB,26,78,77,69,3,380,74,380,78,69,17.45309671769066
859,M. Thuram ST,25,78,71,79,2,321,83,416,74,79,17.16541464523888
860,L. Pellegrini CAM CM CF,27,83,83,76,2,393,79,402,87,75,17.553180176247643
861,L. Bailey RM ST RW,25,83,73,77,3,303,79,359,83,78,17.034386382832476
862,A. Disasi CB,25,56,53,48,2,290,67,352,63,46,16.951004773893423
863,E. Mor RW LW CAM,25,83,66,65,1,289,69,318,78,63,15.424948470398375
864,O. Dembélé RW,26,87,81,77,3,328,83,344,87,75,18.197537192638155
865,U. Sadiq ST,26,72,60,76,2,265,81,403,75,80,16.454567887579532
866,J. Harrison RM LM,26,79,70,71,1,323,78,361,77,69,15.89495209964411
867,T. Fosu-Mensah RWB RM CB,25,65,64,60,1,319,69,358,67,57,14.880221294956703
868,Gabriel CB,25,60,62,41,2,314,62,335,71,37,17.665658159674333
870,N. Molina RWB,25,78,75,67,1,352,70,360,80,67,17.4264284706085
871,X. Schlager CDM CM,25,78,74,70,2,377,78,384,78,66,17.182806387950748
872,Carlos Soler CM,26,78,79,75,2,378,77,372,80,75,16.61887093887081
873,Diogo Dalot RB LB,24,77,76,62,2,361,80,390,78,52,16.972510979114386
874,H. Barnes LW LM,25,81,75,77,2,311,82,378,82,78,17.034386382832476
875,Carmona RM RWB RB,21,68,66,63,1,306,63,334,69,67,15.250595083253597
876,H. Diarra CM LM,19,73,69,63,1,335,77,358,74,58,15.520258650202699
877,A. Ezzalzouli LM RM,21,79,66,70,1,238,73,291,79,74,15.761420707019587
878,H. Vale CAM LWB LB,19,67,64,61,1,271,64,315,67,60,14.22097566607244
879,J. Njinmah ST,22,72,59,69,1,272,66,327,70,72,15.096444403426338
880,A. Adams ST,23,71,56,73,1,277,76,388,73,75,15.955576721460545
881,A. Ramsey LM CM CAM,20,72,67,63,1,297,65,311,72,66,15.150511624696614
882,S. Ngoma RM ST,17,62,47,47,1,231,52,275,58,47,13.38472764187182
883,D. Gore CM CAM,18,67,60,50,1,281,56,256,64,48,13.710150042306449
884,S. Nypan CAM CM ST,16,68,60,55,1,271,56,256,67,56,14.22097566607244
885,F. Buonanotte RM CAM,18,71,66,63,1,247,60,297,74,66,14.978661367769956
886,Y. Borges Sanches LM,19,63,64,57,1,293,56,283,54,57,14.22097566607244
887,B. Miovski ST,24,72,50,73,1,278,78,363,73,78,15.404745763080856
888,Marquinhos RM,20,73,64,59,1,269,61,304,73,58,15.068273526459642
889,Tiago Santos RB,20,74,65,49,1,299,66,302,73,39,15.404745763080856
890,P. Nuamah CM CAM,17,63,62,57,1,289,67,317,62,53,13.560618308335483
891,Y. Asprilla RW CAM,19,69,67,59,1,279,63,306,70,58,14.880221294956703
892,D. Martínez RM CAM LM,17,71,57,62,1,246,52,248,68,71,14.403297222866392
893,João Gomes CDM CM,22,73,71,64,1,353,75,363,75,59,16.588099280204055
894,J. Diehl CF ST LM,18,66,53,65,1,238,68,274,66,69,14.077874822431765
895,E. Saad LW,23,75,63,64,1,242,68,312,72,68,14.73180128983843
896,K. Hlynsson CAM LW RW,19,72,62,60,1,274,67,278,74,57,14.690979295318174
897,Arthur RWB RM,20,65,62,40,1,278,43,266,69,35,14.978661367769956
898,S. Magassa CB,19,61,63,48,1,303,54,300,66,48,15.150511624696614
899,M. Faye CB LB,18,54,49,30,1,234,53,309,57,16,14.077874822431765
900,Angeliño LB LM,26,82,81,71,3,363,80,361,80,70,16.523560759066484
901,R. Tapia CDM CM CB,27,69,71,66,1,361,78,394,71,62,16.489659207390805
902,D. Sánchez CB,27,65,54,47,2,288,66,340,69,44,16.454567887579532
903,D. Calvert-Lewin ST,26,73,63,75,2,330,80,377,78,78,16.454567887579532
904,L. Acosta CAM,29,85,73,69,1,324,71,319,84,67,16.64872390202049
905,O. Watkins ST,27,77,68,79,2,330,79,410,74,83,16.951004773893423
906,B. Embolo ST,26,74,70,77,2,343,84,402,75,77,16.67771143889374
907,K. Świderski ST CAM,26,71,62,74,1,304,73,372,75,78,15.520258650202699
908,Diogo Jota CF LW,26,84,75,82,2,376,86,406,85,85,17.982175781766
909,A. Meret GK,26,84,72,80,2,110,54,231,25,17,17.16541464523888
910,M. Niakhaté CB,27,65,63,42,2,335,49,318,64,37,16.213405830762646
911,R. Oxford CB CDM,24,61,54,33,1,283,49,316,63,23,15.60727002719233
912,André Horta CM CDM,26,78,76,70,1,341,75,370,77,68,16.34123920227253
913,A. Zambo Anguissa CDM CM,27,81,72,68,1,382,74,403,82,66,17.24949776244942
914,B. Henrichs RB RM LB,26,78,74,53,2,344,62,337,79,50,16.759949537130716
915,E. Adebayo ST,25,69,50,71,1,307,72,384,71,73,14.946912669455374
916,S. Sensi CM CAM,27,82,83,62,1,358,69,314,85,53,16.523560759066484
917,J. Ryerson LB RB,25,76,69,60,2,323,70,368,76,57,16.588099280204055
918,Rafa Mir ST,26,72,66,77,2,326,82,407,74,76,16.454567887579532
919,I. Diop CB,26,57,53,37,2,287,51,320,62,30,16.61887093887081
920,S. Banza ST,26,76,55,78,1,293,78,394,80,81,16.64872390202049
921,Y. Yazıcı CAM RM ST,26,77,76,74,1,325,76,367,79,73,15.761420707019587
922,R. Doan RM CAM,25,83,73,66,2,290,64,335,82,66,16.38045991542581
923,J. Ito RM RW,30,78,73,70,2,341,68,356,77,71,16.41820024340866
924,B. Brereton Díaz LM LW ST,24,74,66,73,1,315,75,385,73,75,15.687312734865866
925,Y. Herrera CM RM,25,77,75,76,1,372,81,392,80,76,16.733281290048552
926,V. Janelt CDM CM LB,25,72,71,69,1,347,76,373,74,67,16.06680235657077
927,S. Özcan CDM CM,25,76,71,62,2,362,65,366,75,66,16.64872390202049
928,Y. En-Nesyri ST,26,76,63,82,3,323,83,412,81,84,17.41282281855272
929,N. Milenković CB,25,62,62,45,2,276,60,365,70,38,16.835935444108635
930,J. Clauss RB RWB,30,78,77,69,2,345,77,371,79,68,16.90655301132259
931,L. Díaz LW LM,26,87,75,80,2,320,84,399,87,80,17.64415195445337
932,J. Ferreira ST CAM,22,77,71,73,1,313,77,369,78,72,16.25785759333348
933,K. Mavropanos CB RB,25,59,54,56,2,284,77,383,60,50,16.67771143889374
934,O. Solet CB,23,67,59,43,1,309,64,359,68,35,16.454567887579532
935,L. Ferguson CAM CM CDM,23,75,71,75,1,387,77,395,75,76,16.012735135300492
936,J. Beyer CB,23,70,62,34,1,292,46,304,72,29,16.166885815127753
937,A. Bayındır GK,25,79,72,73,1,128,54,225,16,10,15.830413578506539
938,J. Lindstrøm CAM RM CF,23,81,70,73,2,320,75,340,81,76,16.61887093887081
939,C. Ngonge CF RM ST,23,75,64,71,1,289,74,364,75,69,15.761420707019587
940,Tetê RM,23,79,72,72,1,298,71,330,78,75,16.300417207752275
941,Cho Gue Sung ST,25,68,51,71,1,287,71,386,70,75,15.068273526459642
942,L. Greiml CB,21,46,49,30,1,270,42,266,56,23,14.557447902693651
943,T. Krauß CDM CM,22,73,66,66,1,365,73,370,75,61,16.166885815127753
944,A. Vranckx CM CDM,20,77,70,65,1,319,77,371,78,63,15.687312734865866
945,E. Millot CAM CM CF,20,78,71,65,1,323,66,298,78,67,16.06680235657077
946,I. Kaboré RWB RB RM,22,72,63,39,1,291,42,312,71,36,15.687312734865866
947,J. Veerman CM CDM CAM,24,76,84,69,2,344,76,370,79,65,17.034386382832476
948,A. Kalimuendo ST,21,77,59,75,2,294,76,362,77,77,16.213405830762646
949,G. Mikautadze ST,22,78,70,76,1,309,75,367,76,78,16.06680235657077
950,O. Dorley CM LB LM,24,78,76,57,1,352,55,337,79,55,16.25785759333348
951,K. Paredes LW LB,20,76,64,57,1,293,63,254,74,61,15.226497531674536
952,M. Tillman CAM CM,21,78,67,68,1,313,71,350,78,70,16.06680235657077
953,Fábio Vieira CAM CM,23,78,78,72,1,308,76,319,80,69,16.61887093887081
954,A. Dedić RB LB,20,71,68,58,1,306,67,354,70,56,15.687312734865866
955,L. Pirola CB,21,58,52,42,1,254,57,302,62,39,15.27412558066379
956,K. Aktürkoğlu LM CAM,24,77,71,73,1,285,72,341,71,74,16.11809565095832
957,Zito Luvumbo CF LM RM,21,79,63,67,1,305,72,334,73,69,15.520258650202699
958,F. Rieder CAM CM,21,75,71,69,1,319,73,343,75,70,16.06680235657077
959,A. Forson RM LB CM,20,73,65,53,1,275,58,269,68,52,14.946912669455374
961,G. Ochoa GK,37,84,70,73,1,124,53,230,20,12,14.880221294956703
962,L. Bonucci CB,36,70,69,59,3,343,74,356,76,50,14.946912669455374
963,A. Sánchez ST,34,84,79,81,4,358,80,368,85,81,16.166885815127753
964,Jordi Alba LB,34,81,82,70,3,375,64,352,82,73,16.41820024340866
965,M. ter Stegen GK,31,91,89,85,5,171,67,262,30,14,17.81371125963347
966,Koke CDM CM,31,79,85,72,3,389,82,391,83,69,17.19990082131005
967,S. Coates CB,32,62,55,49,3,343,50,337,67,55,16.61887093887081
968,Morata ST,30,80,73,83,3,334,83,412,83,86,17.541203985200926
969,J. Tarkowski CB,30,60,64,45,1,317,63,335,64,40,16.489659207390805
970,R. Mahrez RM RW,32,89,82,81,3,328,82,369,91,82,17.80449460452855
971,M. Sabitzer CM CAM CDM,29,80,80,81,3,387,86,391,83,78,17.034386382832476
972,Jorginho CDM CM,31,81,84,67,2,399,71,350,87,65,17.054189010128656
973,Bernard LW CAM RW,30,81,72,67,2,288,76,285,78,64,15.520258650202699
974,S. Gnabry RM ST LM,27,84,78,84,3,330,87,378,82,85,17.466168799258014
975,Gayà LB LWB,28,79,77,61,3,368,62,347,80,61,17.1296965626368
976,N. Süle CB RB,27,62,67,51,3,302,78,377,70,36,17.466168799258014
977,Bruno Fernandes CM CAM RW,28,81,88,85,4,418,88,398,86,83,18.19126757962456
978,Ricardo Horta CAM CF RM,28,80,80,83,1,368,83,385,79,83,17.23323724157764
979,J. Marriott ST,28,65,50,64,1,261,68,339,63,64,13.493926933836812
980,Y. Tielemans CM CDM CAM,26,78,83,79,2,369,86,385,84,74,17.216707939626428
981,Angeliño LB LM,26,82,81,71,3,363,80,361,80,70,16.523560759066484
982,R. Tapia CDM CM CB,27,69,71,66,1,361,78,394,71,62,16.489659207390805
983,D. Sánchez CB,27,65,54,47,2,288,66,340,69,44,16.454567887579532
984,L. Acosta CAM,29,85,73,69,1,324,71,319,84,67,16.64872390202049
985,O. Watkins ST,27,77,68,79,2,330,79,410,74,83,16.951004773893423
986,B. Embolo ST,26,74,70,77,2,343,84,402,75,77,16.67771143889374
987,K. Świderski ST CAM,26,71,62,74,1,304,73,372,75,78,15.520258650202699
988,H. Haraldsson CF,20,74,67,65,1,339,64,327,74,68,15.176487111099874
989,M. Lotka GK,22,70,56,65,1,72,42,201,12,11,14.648419680899378
990,Sergi Cardona LB LM,23,68,64,43,1,310,60,322,70,40,15.89495209964411
991,R. Onyedika CDM CM,22,71,64,62,1,320,80,386,73,55,15.89495209964411
992,Vinicius Souza CDM CM CB,24,67,61,49,1,286,80,383,70,38,16.166885815127753
993,L. Abada RW,21,74,67,71,1,284,74,342,73,72,16.06680235657077
994,F. Ebosele RWB RM RB,20,73,58,45,1,289,49,320,70,47,15.009433026436708
995,Miguel Maga RWB RB RM,20,68,64,54,1,295,60,284,70,51,15.404745763080856
996,Andrew GK,22,76,75,73,1,119,56,218,17,4,16.213405830762646
997,Abner LB,23,71,72,51,1,315,52,294,72,48,15.424948470398375
998,Agirrezabala GK,22,72,73,74,1,101,55,206,29,7,15.60727002719233
999,M. Cancellieri LW CF,20,77,69,69,1,289,74,347,77,64,15.687312734865866
1000,Gonçalo Esteves RB,19,68,64,39,1,297,43,263,70,38,14.978661367769956
1001,J. Rak-Sakyi RM RW,20,75,63,66,1,250,65,307,75,68,15.226497531674536
1002,Carmona RM RWB RB,21,68,66,63,1,306,63,334,69,67,15.250595083253597
1003,E. Poku RW LW,19,72,56,60,1,239,75,306,69,55,14.77102200299171
1004,Pablo Felipe RM ST RW,19,66,63,68,1,276,66,331,66,72,14.880221294956703
1005,M. Akliouche CAM CF,21,77,70,65,1,290,64,306,76,67,15.761420707019587
1006,Y. Regeer LB RB CM,19,69,68,55,1,314,63,311,69,57,14.978661367769956
1007,Álvaro Fernández LWB LM,20,73,72,53,1,321,64,319,73,50,15.123843377614453
1008,A. Circati CB,19,43,43,27,1,212,38,256,58,24,14.151982794585487
1009,U. Tohumcu CAM CM,18,70,65,60,1,258,59,248,70,63,14.77102200299171
1010,P. Aning LB LW,19,70,54,37,1,270,44,227,66,35,13.9108207377686
1011,Marquinhos RM,20,73,64,59,1,269,61,304,73,58,15.068273526459642
1012,Mateus Fernandes CM CAM,18,74,67,57,1,315,62,316,72,53,14.845129975145433
1013,Igor Paixão LW RW,23,79,71,72,1,286,66,367,79,74,16.61887093887081
1014,K. Keben RB CB,19,56,50,32,1,227,43,290,63,29,14.808762330974558
1015,Álvaro ST LW,18,62,60,61,1,224,58,317,61,65,14.22097566607244
1016,L. Rodríguez RW LW ST,19,71,58,72,1,278,81,379,69,68,14.690979295318174
1017,P. Dahbo RW LW,17,66,54,60,1,237,59,287,66,63,13.815510557964274
1018,Otávio CB,21,43,39,29,1,239,43,286,45,24,14.690979295318174
1019,Newerton LM RM,18,65,59,49,1,205,51,217,63,57,14.28551418721001
1020,E. Konsa CB RB,25,74,67,39,2,312,58,331,77,34,17.034386382832476
1021,E. Adebayo ST,25,69,50,71,1,307,72,384,71,73,14.946912669455374
1022,L. Nmecha ST,24,77,66,77,2,333,79,391,80,78,16.588099280204055
1023,J. Worrall CB,26,45,51,25,1,237,34,283,54,20,15.341566861459324
1024,L. Blas RW RM CAM,25,82,76,78,2,357,82,372,82,75,16.64872390202049
1025,Guruzeta ST,26,77,71,76,1,329,78,383,78,79,16.34123920227253
1026,N. Dorsch CDM CM,25,78,74,72,2,349,82,381,80,66,16.11809565095832
1027,G. Montiel RB RWB,26,75,69,62,1,390,68,375,73,58,16.523560759066484
1028,I. Diop CB,26,57,53,37,2,287,51,320,62,30,16.61887093887081
1029,J. Bijlow GK,25,78,78,75,2,116,59,236,21,10,16.61887093887081
1030,L. Jović ST,25,76,68,76,1,301,81,384,77,75,16.41820024340866
1031,D. Dumfries RWB RM,27,73,70,63,3,344,68,397,76,67,17.111347423968603
1032,B. Jatta RW,25,69,66,69,1,309,77,383,65,69,14.690979295318174
1033,S. Özcan CDM CM,25,76,71,62,2,362,65,366,75,66,16.64872390202049
1034,M. Di Gregorio GK,25,82,72,76,1,132,54,234,20,9,16.759949537130716
1035,E. Álvarez CDM CB,25,71,69,58,3,358,74,371,76,57,17.24949776244942
1036,M. Senesi CB,26,72,70,42,2,298,55,335,75,32,15.89495209964411
1037,K. Diatta RM,24,78,66,69,1,302,73,368,75,68,15.955576721460545
1038,D. Zagadou CB,24,51,60,34,2,269,66,333,52,26,16.300417207752275
1039,P. Płacheta LM RM,25,70,60,60,1,253,67,295,67,65,14.403297222866392
1040,K. Wagner LB LWB LM,26,70,69,48,1,294,74,374,70,36,15.89495209964411
1041,O. Kabak CB,23,66,59,37,2,299,48,310,71,35,15.89495209964411
1042,L. Foster ST,22,67,57,68,1,276,76,359,70,69,14.978661367769956
1043,Riqui Puig CM CAM,23,81,73,64,1,325,66,287,83,63,16.25785759333348
1045,D. McNeil LM,23,78,75,66,1,313,68,343,79,66,16.25785759333348
1046,B. Mumba LM LWB RWB,21,73,66,60,1,301,60,306,70,64,15.250595083253597
1047,A. Bayındır GK,25,79,72,73,1,128,54,225,16,10,15.830413578506539
1048,Trincão RW RM LW,23,81,70,74,1,299,73,344,81,77,16.300417207752275
1049,J. López CDM CM CAM,23,71,64,49,1,312,55,308,71,48,14.880221294956703
1050,L. Barreiro Martins CM CDM,23,80,69,61,2,344,61,317,79,63,16.300417207752275
1051,K. Furuhashi ST,28,75,67,79,1,330,79,363,77,82,16.489659207390805
1052,B. Dia ST LW CF,26,81,62,81,1,314,84,400,82,86,17.41282281855272
1053,Álvaro Valles GK,25,83,79,77,1,122,59,235,14,6,16.883563493097892
1054,L. Traoré ST,22,69,57,72,1,292,80,394,70,75,16.06680235657077
1055,M. Solomon LW LM,23,81,75,72,1,270,76,342,76,75,16.588099280204055
1056,N. Ngoumou RM,23,71,64,70,1,263,77,336,73,70,15.363073066680286
1057,P. Osterhage CDM CM,23,73,66,56,1,316,62,352,74,52,15.29711509888849
1058,A. Doughty LWB RWB,23,69,68,54,1,289,61,338,68,50,15.27412558066379
1059,K. Kozłowski LM CAM,19,75,63,58,1,297,64,339,73,58,15.009433026436708
1060,C. Ramsay RWB RB,19,66,60,43,1,279,66,312,67,33,14.28551418721001
1061,H. Hackney CDM CM,21,70,69,57,1,332,68,330,70,53,15.29711509888849
1062,M. Beier ST LM RM,20,76,62,73,1,274,74,341,75,77,16.06680235657077
1063,M. Bard LB,22,74,68,52,1,330,70,352,75,45,16.523560759066484
1064,M. Arezo ST,20,72,61,74,1,323,78,352,75,74,15.424948470398375
1065,Nico González CDM CM,21,73,73,61,1,352,65,357,74,60,16.166885815127753
1066,L. Badé CB,23,63,56,45,1,272,59,334,75,45,16.785925023533974
1067,S. Nanasi LM CAM RM,21,74,69,61,1,270,54,302,74,65,15.250595083253597
1068,A. Jashari CDM CM,20,71,68,61,1,333,62,365,73,58,15.520258650202699
1069,M. Manhoef RM LM,21,72,62,63,1,311,66,361,70,66,15.520258650202699
1070,J. Aude LB CDM,20,75,62,46,1,290,57,297,74,41,14.648419680899378
1071,M. Godts LW RW,18,73,61,57,1,220,68,296,69,57,14.603967918328545
1072,E. Emegha ST,20,68,54,70,1,287,72,366,71,73,15.226497531674536
1073,D. Neil CM CDM,21,71,67,64,1,339,62,358,73,66,15.250595083253597
1075,Arnau Tenas GK,22,75,76,69,1,119,57,182,35,5,15.341566861459324
1076,J. Rijkhoff ST,18,70,52,62,1,237,55,259,71,68,13.997832114758229
1077,K. Sildillia RB CB RM,21,68,61,30,1,298,35,284,68,26,15.687312734865866
1078,I. Ndiaye CF ST,23,81,64,72,1,299,75,357,79,73,15.955576721460545
1079,A. Nagalo CB,20,62,55,29,1,245,45,301,67,25,15.150511624696614
1080,22 Iniesta CAM CM,37,81,84,70,4,353,67,275,87,69,15.520258650202699
1082,G. Ochoa GK,37,84,70,73,1,124,53,230,20,12,14.880221294956703
1083,K. Schmeichel GK,36,80,79,77,3,153,59,235,40,12,14.880221294956703
1084,H. Lloris GK,36,83,67,77,4,162,50,188,29,10,14.648419680899378
1085,S. Coleman RB RWB,34,74,72,65,2,351,74,342,73,61,14.557447902693651
1086,22 A. Vidal CM,34,78,78,79,4,405,84,401,83,76,16.300417207752275
1087,E. Choupo-Moting ST,34,79,69,77,2,314,79,361,80,83,15.761420707019587
1088,W. Szczęsny GK,33,87,73,83,3,135,55,249,22,12,16.90655301132259
1089,K. Walker RB,33,78,77,63,3,362,86,403,81,51,16.90655301132259
1090,J. Matip CB,31,70,67,46,2,325,66,342,73,36,16.489659207390805
1091,D. Alaba CB LB,31,80,83,71,4,394,82,397,83,62,17.4264284706085
1092,M. Verratti CM CDM,30,91,87,61,3,405,60,306,92,60,17.98989782785991
1093,Sergi Roberto RB CM,31,77,79,63,3,350,65,361,80,63,16.556350581889475
1094,Gabriel Paulista CB,32,62,66,49,2,328,61,340,65,42,15.761420707019587
1095,L. Spinazzola LWB LM,30,79,72,64,3,357,68,350,80,60,16.70588231586044
1096,H. Maguire CB,30,66,70,57,3,362,82,376,73,48,16.67771143889374
1097,R. Mahrez RM RW,32,89,82,81,3,328,82,369,91,82,17.80449460452855
1098,S. Kolašinac CB LB,30,68,67,63,2,352,75,378,72,60,16.25785759333348
1099,A. Belotti ST,29,76,58,76,3,333,80,397,75,77,16.454567887579532
1100,T. Partey CDM CM,30,80,82,71,2,370,86,404,84,66,17.622173047734595
1101,A. Rabiot CM CDM,28,80,80,76,2,397,86,424,85,72,17.553180176247643
1102,J. Hofmann CAM,30,81,83,79,3,385,74,371,81,84,17.37085861945369
1103,D. Berardi RW RM,28,87,81,83,2,355,83,380,87,85,17.81371125963347
1104,N. Tagliafico LB,30,75,70,56,3,340,65,356,76,57,16.300417207752275
1105,Ivan Cavaleiro LM,29,75,68,71,1,315,76,373,76,70,15.226497531674536
1106,Iñaki Williams RM ST,29,78,72,79,2,332,85,428,78,79,17.054189010128656
