,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
2385,I. Babadi CAM CM LW,18,73,59,51,1,269,54,237,74,52,14.603967918328545
2386,V. Crespi ST CAM,18,62,57,63,1,278,65,340,60,64,14.22097566607244
2387,Y. Konak CDM CM,17,54,54,43,1,260,51,256,56,41,13.560618308335483
2388,A. Ilić ST,23,57,47,62,1,256,67,350,61,64,13.997832114758229
2389,M. De Amorim CM CAM,18,70,61,44,1,283,51,269,70,42,13.997832114758229
2390,D. Osorio LW RW,19,62,60,59,1,261,62,290,65,58,13.560618308335483
2391,S. Leković CB,19,49,51,55,1,280,63,327,60,55,14.28551418721001
2392,G. Misehouy CAM,17,68,63,56,1,274,65,272,70,56,13.997832114758229
2393,A. Matos CM CDM RM,18,67,61,57,1,297,69,336,66,56,13.815510557964274
2394,J. McConnell CM,18,61,58,50,1,276,48,270,61,51,13.262125319779487
2395,T. Medina CM,19,67,65,56,1,292,60,273,68,54,14.403297222866392
2396,J. Donley CAM ST,18,63,59,60,1,247,59,290,63,62,13.9108207377686
2397,B. Ibrahim CDM,18,57,56,40,1,249,52,264,59,33,13.122363377404328
2398,A. Ruberto ST,17,66,57,64,1,288,61,319,64,69,14.403297222866392
2399,Y. Eduardo ST LW RW,17,57,50,62,1,262,64,335,59,64,14.077874822431765
2400,D. Lembikisa RB RWB,19,60,54,43,1,260,46,269,58,43,13.997832114758229
2401,L. Querfeld CB,19,50,50,40,1,235,68,369,56,22,14.845129975145433
2402,B. Andresen LB RB,20,59,46,29,1,229,26,229,57,30,12.959844447906553
2403,C. Volpato CAM CF RW,19,69,64,64,1,270,76,324,70,60,14.77102200299171
2404,M. Burstow ST,19,57,42,58,1,219,62,321,58,59,13.304684934198283
2405,Vinicius Mello ST,20,65,37,57,1,223,47,281,66,65,13.304684934198283
2406,J. Gómez LB,19,60,48,33,1,248,34,230,55,31,13.9108207377686
2407,C. Wehbe RB RWB,18,58,55,45,1,258,55,304,57,41,13.790192749979985
2408,T. Hume RB CB LB,21,67,61,37,1,308,35,302,66,38,15.424948470398375
2409,J. Seelt CB,20,47,44,34,1,215,50,302,54,28,13.997832114758229
2410,A. Gómez RM,20,72,63,66,1,273,62,304,72,71,15.068273526459642
2411,23 L. Tolaj ST,20,58,46,57,1,264,58,307,57,58,13.017002861746503
2412,N. Tresoldi ST CF,18,65,48,62,1,235,62,312,63,68,14.22097566607244
2413,T. Adaramola LB,19,56,50,49,1,265,55,259,54,48,13.071070083016778
2414,N. Valentini CB,22,63,54,32,1,261,44,308,64,28,15.404745763080856
2415,K. Doumbia CAM,20,75,69,65,1,321,68,322,74,63,15.341566861459324
2416,B. Zimmermann ST CAM RM,21,67,56,68,1,286,69,364,67,70,14.648419680899378
2417,J. Fernández RM RW,19,73,62,63,1,253,72,294,71,62,14.880221294956703
2418,J. Solís CM CDM,18,64,62,60,1,311,59,346,67,62,14.845129975145433
2419,F. Loftesnes-Bjune RB,18,57,55,41,1,251,45,250,58,40,13.122363377404328
2420,W. Cheddira ST,25,68,64,71,1,298,70,381,69,73,15.068273526459642
2421,G. Hernández CB,25,59,52,37,1,268,43,284,68,39,15.830413578506539
2422,A. Salah-Eddine LB CDM,21,67,62,35,1,281,45,281,68,27,14.603967918328545
2426,N. Bonfanti ST,21,66,48,67,1,223,70,344,68,66,14.648419680899378
2427,Du Yuezheng ST,17,56,42,55,1,213,56,284,57,58,12.691580461311874
2428,A. Gaaei RB,20,66,57,48,1,286,52,307,66,48,14.557447902693651
2429,O. Moxon CM,25,66,67,58,1,317,62,354,66,57,14.151982794585487
2430,L. Hey CB CDM,20,60,55,41,1,274,55,288,64,35,14.28551418721001
2431,N. Tjoe-A-On LB,21,57,53,39,1,249,49,300,58,31,14.077874822431765
2432,D. Huseinbašić CM CDM,21,69,62,62,1,319,61,325,69,67,14.946912669455374
2433,M. Wenig CAM CM,19,61,63,58,1,255,60,287,64,57,13.815510557964274
2434,A. Zehnter LB LM,18,59,54,36,1,250,33,242,57,34,13.38472764187182
2435,E. Omić CDM CM,20,63,62,51,1,284,65,335,65,40,13.997832114758229
2436,M. Biereth ST,20,61,49,63,1,270,66,348,63,64,14.151982794585487
2437,Simo CB,18,55,51,38,1,256,49,286,58,36,14.346138809026444
2438,K. Koulierakis CB,19,63,54,40,1,251,72,338,67,24,14.978661367769956
2439,B. Bouanani RW,18,71,68,64,1,259,65,290,71,66,14.880221294956703
2440,D. Pejčinović ST,18,61,52,60,1,248,60,297,63,65,13.623138665316818
2441,R. Flamingo CDM CB RB,20,64,62,61,1,328,71,359,65,57,15.009433026436708
2443,R. Elongo-Yombo LW RW ST,21,66,57,56,1,263,57,303,65,61,13.9108207377686
2444,J. N'Duquidi CDM,18,65,60,47,1,296,62,307,65,37,13.997832114758229
2445,T. Cervera ST LW,20,65,54,62,1,241,61,321,65,66,14.077874822431765
2446,R. Lezcano CM,19,64,59,52,1,269,59,288,66,49,14.151982794585487
2447,R. Pop RM LM,18,66,60,58,1,230,55,260,64,60,14.403297222866392
2448,Y. Özcan LB CB,17,39,44,33,1,233,47,272,40,25,13.681979165339751
2449,L. D'Andrea RM RW,18,73,64,58,1,253,65,284,71,58,14.845129975145433
2450,M. Dorgeles CM,18,69,61,46,1,263,55,254,69,45,13.997832114758229
2451,M. Zanotti RB RM,20,70,69,59,1,316,58,301,66,59,14.845129975145433
2452,G. Garofani GK,20,65,58,64,1,65,44,198,19,6,13.458835614025542
2453,Juan Larios LB,19,60,50,36,1,247,28,218,59,39,13.304684934198283
2454,A. Kocaman CB LB,19,45,36,26,1,228,45,250,46,19,13.017002861746503
2455,S. Parkes LB CB,19,53,45,35,1,273,39,254,55,32,13.122363377404328
2456,S. Armstrong ST LW,20,59,52,61,1,271,73,353,58,60,14.077874822431765
2457,Fábio Jaló ST RW CAM,17,55,44,56,1,219,54,277,54,57,13.17115354157376
2458,G. Ambrosino ST,19,63,58,61,1,279,63,339,65,60,14.457364444136669
2459,A. Engels CM CDM,19,74,73,64,1,337,74,347,74,62,15.424948470398375
2460,M. Lazo CB RB LB,19,43,43,28,1,220,41,265,58,20,14.457364444136669
2461,J. Hettwer RW ST,20,68,55,65,1,279,64,321,67,68,14.603967918328545
2462,E. Elmalı LB CB,22,68,62,40,1,298,58,330,65,30,14.808762330974558
2463,J. Portillo LB CM CDM,23,68,65,57,1,323,65,361,68,55,15.068273526459642
2464,D. Agrón CB LB,22,46,41,25,1,240,35,258,64,20,14.557447902693651
2465,I. De Arruabarrena GK,26,76,66,75,1,98,50,196,10,8,15.89495209964411
2466,S. Sambo RB,21,67,60,43,1,288,59,325,66,38,14.914122846632385
2467,D. Guindo LB,20,71,55,37,1,272,48,292,67,32,14.557447902693651
2468,J. McGlynn CM,19,68,71,53,1,274,65,309,69,48,14.880221294956703
2469,Jeong Sang Bin ST CAM,21,67,56,60,1,263,60,314,63,65,14.151982794585487
2470,B. Norton-Cuffy RB RWB,19,69,58,39,1,281,43,299,66,34,14.648419680899378
2471,W. Suzuki ST,20,58,53,59,1,232,57,337,60,62,13.790192749979985
2472,A. Akman ST,21,72,57,64,1,241,62,283,71,71,14.457364444136669
2473,L. Petkov CM CAM LM,22,70,65,66,1,288,78,355,70,62,14.808762330974558
